SITE,YEAR,TREE_ID,BAND_NUM,SP,UNIQUE_ID,DATA_SET,ORG_DBH,GAP_WIDTH,DBH,DOY,SKIP,ADJUST,REMOVE,NEW_BAND
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.52,29.2,116,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,70.9,84.7,116,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.58,29.20190986,122,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,70.85,84.69840845,122,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.58,29.20190986,126,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,70.8,84.6968169,126,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.55,29.20095493,129,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.04,84.70445634,129,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.58,29.20190986,133,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.16,84.70827606,133,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.6,29.20254648,136,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.1,84.7063662,136,0,0,0,0
SERC,2013,30193,1,FAGR,SERC301931,INT,29.2,85.57,29.20159155,140,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.13,84.70732113,140,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,11.75,29.20159155,143,0,0,0,1
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.24,84.71082254,143,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,12.82,29.23565071,148,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.52,84.71973521,148,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,13.26,29.24965634,151,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,71.69,84.72514648,151,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,14.34,29.28403381,155,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,72.82,84.7611155,155,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,15.53,29.32191269,162,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,73.54,84.78403381,162,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,16.62,29.35660846,168,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,75.33,84.84101128,168,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,17.36,29.3801634,173,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,75.88,84.85851832,173,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,18.11,29.40403664,176,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,76.46,84.8769803,176,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,18.88,29.4285465,179,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,77.1,84.89735213,179,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,19.45,29.44669016,183,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,78.31,84.93586763,183,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,19.97,29.46324228,187,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,78.8,84.95146481,187,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,20.66,29.48520566,191,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,79.45,84.97215495,191,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,21.28,29.50494087,197,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,80.65,85.01035214,197,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,21.56,29.51385355,200,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,81.08,85.02403946,200,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,21.76,29.52021975,203,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,81.24,85.02913242,203,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,22.35,29.53900003,211,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,82.12,85.05714369,211,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.07,29.56191834,216,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,83.87,85.11284792,216,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.17,29.56510144,219,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,83.47,85.10011553,219,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.18,29.56541975,226,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,83.95,85.1153944,226,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.26,29.56796623,229,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,83.96,85.11571271,229,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.28,29.56860285,232,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84,85.11698595,232,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.3,29.56923947,235,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.06,85.11889581,235,0,0,0,0
SERC,2013,30193,2,FAGR,SERC301931,INT,29.2,23.13,29.5638282,239,0,0,0,0
SERC,2013,30261,1,LIST2,SERC302611,INT,84.7,84.1,85.12016905,239,0,0,0,0
